V1,V2,V3,V4,V5,V6,V8,V9,V10,V11,V12,V14,V15,V16,V18,V19,V20,V21,V22,V23,V24,V25,V27,V28,V29,V30,V31,V32,V33,V35,V36,V37,V38,V39
74.68,165.37,128.13,70.7,152.17,73.36,52.43,85.27,101.3,139.05,98.57,78.83,115,89.76,64.93,96.52,112.8,121.93,109.35,135.95,119.5,99.76,144.2871429,85.23,107.93,108.16,60.34,109,110.11,158.83,88.59,62.95,163.05,130.64
187.2,327.33,210.27,116.38,219.63,160.11,118.89,192.04,150.68,267.48,172.31,142.84,241.46,166.75,119.11,146.09,175.78,383.29,129.74,175.98,185.62,192.96,139.9285714,159.86,179.95,196.66,103.55,185.5,207.04,223.54,152.75,107.68,205.49,252.24
183.27,277.17,220.02,130.9,202.54,152.24,113.93,186.79,175.69,247.23,180.88,149.91,244.72,181.2,123.32,162.23,176.08,301.53,143.5,159.45,185.47,200.79,135.57,149.76,168.11,205.55,101.44,233.14,189.06,266.78,186.91,126.66,186.08,226.36
215.03,228.2,215.54,106.62,221.5,170.25,91.22,205.98,139.59,200.42,147.16,144.68,212.67,169.56,132.32,161.2,172.96,317.8514286,169.13,211.09,175.58,220.03,172.76,146.08,171.52,164.75,101.89,211.9,195.83,222.08,204.54,135.1,191.25,240.25
82.13,153.04,145.23,80.38,100.46,114.24,62.95,111.91,88.58,155.73,93.44,106.41,125.86,118.26,88.31,115.48,117.84,334.1728571,90.54,126.21,121.41,142.07,106.54,84,129.78,118.98,73.77,169.485,120.67,120.86,127.92,82.19,136.02,199.29
113,308.89,209.23,127.05,107.33,157.74,144.76,172.07,163.35,213.19,190.63,187.63,198.49,207.51,143.94,188.41,185.04,350.4942857,118.6,140.79,215.94,202.1,170.35,162.31,199.06,208.66,125.07,127.07,175.92,230.31,149.21,143.84,202,238.69
143.88,245.83,161.22,99.36,149.13,110.63,86.57,153.61,127.85,210.69,105.71,104.65,247.48,135.2,81.22,114.86,137.74,366.8157143,102.27,148.56,139.12,146.27,125.02,101.14,134.91,188.52,111.425,153.67,154.04,245.17,117.17,94.19,131.73,193.54
156.02,306.96,205.92,104.3,205.5,127.96,137.39,178.52,142.68,246.65,151.81,131.92,225.37,170.23,109.75,163.18,159.61,383.1371429,116.62,151.23,186.44,196.18,146.04,134.08,167.58,205.47,97.78,192.48,192.82,282.87,132.12,105.16,173.06,239
212.92,404.24,239.65,151.54,248.16,193.49,171.71,213.43,186.21,278.85,215.33,169.92,288.24,208.05,133.24,189.05,193.38,399.4585714,136.67,215.69,222.95,267.54,180.81,169.62,209,209.57,116.97,225.98,247.91,326.25,220.83,117.99,219.92,262.21
171,333.99,199.08,127.85,262.7,155.02,136.09,192.26,198.17,278,184.82,152.97,209.42,187.51,133.66,161.38,180.88,415.78,191.4,229.2,204.61,222.27,174.62,160.56,190.06,198.94,108.68,209,213.4,386.09,182.95,128.73,253.29,249.49
149.83,221.22,191.23,126.2,179.27,127.96,127.25,170,155.07,219.24,162,122.69,210.83,150.88,111.76,142.78,164.17,334.79,123.38,149.34,156.07,190.63,129.83,119.5,154.23,198.4,95.43,171.16,165.94,221.16,142.63,130.07,181,238.0485714
144.62,244.3,186.1,122.09,210.07,131.44,172.49,174.15,153.79,261.17,140.15,106.56,220.07,157.36,110.87,144.54,156.04,334.89,143.58,188.32,171.05,197.04,125.7,129.2,152.04,178.82,88.74,171.23,188.77,304.76,161.51,117.26,169.04,226.6071429
177.19,246.5,233,157.39,256.2,165.43,130.24,218.45,175.71,276.58,188.08,110.39,236.09,219.2,164.42,200.61,211.36,259.57,183.31,231.24,208.66,267.53,162.5,172.53,204.93,206.01,129.66,182.94,229.2,260.42,276.74,168.26,221.98,215.1657143
99.94,162.42,147.62,122.15,164.08,89.09,101.65,140.28,119.89,187.1,155.26,102.28,148.18,119.01,99.38,114.85,138.73,195.88,142.15,153.44,117.5,147.81,118.98,100.6,134.44,137.93,83.2,130.61,138.45,166.19,108.38,107.81,142.58,203.7242857
200.14,296.41,262.02,187.12,309.75,183,189.73,227.27,240.01,358.4,243.47,193.39,248.03,256.97,178.61,237.48,239.99,189.85,235.05,249.92,255.18,287.11,280.5,217.97,243.74,233.18,148.04,258.49,251.2,428.87,232.75,175.38,283.62,192.2828571
193.66,287.65,236.29,175.19,254.62,170.26,184.93,202.88,214.32,301.24,242.7,201.23,232.41,226.36,155.67,223.31,215.86,97.98,207.4,233.68,222.62,259.01,254.04,171.85,210.41,200.73,127.34,224.43,221.17,281.56,201.44,154.59,248.58,180.8414286
116.65,175.01,166.32,114.93,214.93,110.27,132.59,170.71,142.15,200.65,137.88,121.19,210.02,119.65,107.58,143.82,159.95,93.95,113.09,128.67,148.99,180.24,160.84,111.89,143.18,172.31,86.1,166.81,170.2,199.97,121.58,139.81,132.31,169.4
119.08,182.56,160.04,111.2,213.161,109.69,135.2,149.48,134.28,208.19,130.83,112.13,203.58,145.79,100.51,127.72,149.97,235.94,133.76,139.89,127.99,169.99,149.21,106.68,129.27,170.15,77.64,155.36,149.32,202.65,129.15,114.29,147.04,185.44
177.31,237.29,195.71,117.54,211.392,148.79,157.22,204.57,162.1,248.49,163.87,145.86,272.12,198.69,127.98,167.39,189.51,354.25,145.8,173.26,179.62,207.54,177.59,129.27,177.45,202.79,104.98,187.5,194.87,260.32,171.16,147.79,176.08,227.4
207.38,268.06,203.77,127.39,209.623,167.65,189.67,243.67,176.93,279.66,182.41,164.8,289.61,169.44,143.41,201.45,195.64,398.26,153.23,203.03,210.8,225.54,195.77,147.66,189.45,190.85,114.14,226.57,236.91,308.13,205.03,148.29,205.17,264.04
202.03,295.15,222.69,145.34,207.854,184.21,195.54,251.66,208.67,306.05,209.99,173.25,317.21,224.59,157.16,210.74,218.95,414.37,148.01,202.4,221.55,281.98,225.94,166.38,230.64,224.54,136.23,249.38,295.56,446.18,236.99,178.58,225.81,294.08
291.24,266.73,223.62,174.34,206.085,199.09,177.5,254.61,199.08,276.23,216.86,197.67,306.5,231.77,173.6,239.56,226.9,298.15,190.67,272.02,208.4,316.09,215.85,181.93,215.77,233.27,139.4,227.87,280.86,487.46,283.68,175.33,250.45,337.33
123,211.46,178.79,197.85,204.316,133.6,180.87,189.55,196.42,256.66,346.25,160.83,216.67,187.385,154.82,121.33,206.56,203.73,157.09,178.36,187.36,236.45,166.88,150.19,189.66,189.24,138.63,222.87,200.63,297.95,190.26,181.9,204.98,212.88
99.53,160.49,125.94,82.79,202.547,89.38,100.91,123.85,110.56,148.52,152.14,78.8,155.54,143,84.19,105.9,138.9,265.94,99.38,109.96,107.91,144.44,111.15,90.2,116.75,142.86,67.74,123.76,125.02,214.44,109.77,110.17,121.05,146.6
121.34,196.97,148.54,96.09,200.778,105.52,87.65,154.86,125.81,176.08,132.93,101.58,185.58,135.26,99.88,117.26,147.12,264.75,142.92,125.62,116.04,160.43,131.81,107.28,123.08,152.4,72.41,140.68,145.32,197.06,139.93,129.27,146.84,158.88
118.5,180.4,149.94,101.94,199.009,107.07,121.1,139.03,120.56,155.83,113.18,121.37,190.71,131.97,106.06,123.86,152.51,232.52,99.4,124.4,131.55,172.25,120.04,103.04,125.33,160.59,80.91,133.55,134.33,213.76,123.81,129.04,140.12,162.81
145.02,206.28,146.88,116.37,197.24,107.81,130.38,158.69,140.44,206.57,142.42,127.21,182.5,142.95,114.48,137.81,159.43,214.48,134.66,160.21,144.16,176.64,135.42,113.75,146.39,159.47,86.49,149.45,156.04,309.35,146.67,141.04,160.1,171.75
164.26,213.28,176.79,118.94,217.85,125.8,168.9,190.26,156.31,227.97,146.38,128.25,229.42,157.3,118.03,148.85,171.6,325,147.38,167.7,143.7257143,197.57,146.58,116.7,162.29,192.12,89.61,179.62,184.37,287.37,158.11,154.19,159.08,205.38
204.09,285.21,189.52,121.45,257.91,146.37,206.99,229.61,165.85,243.04,139.74,135.8,276.83,164.49,134.9866667,133.43,178.64,313.44,113.85,190.68,143.2914286,223.52,178.74,124.82,162.19,190.6,91.46,178.95,210.58,385.95,168.25,116.1,181.92,224.75
286.54,393.33,261.15,170.52,356.48,226.26,267.81,289.84,200.22,354.73,224.89,199.9,328.67,238.52,151.9433333,192.02,241.62,386.4,140.16,275.22,142.8571429,329.01,231.35,192.26,262.07,215.27,136.09,242.68,314.47,404.03,277,167.69,288.6,350.33
263.29,421.46,235.56,199.47,273.92,220.38,254.77,279.47,232.8,338.07,261.22,200.04,328.83,218.38,168.9,203.68,220.22,341.35,190.56,223.41,142.4228571,283.29,275.56,193.28,255.11,224.4,136.95,242.68,284.7,428.18,202.45,191.52,335.62,325.27
249.2,359.43,201.48,171.96,282.54,177.98,254.49,269.02,187.27,347.42,230.4,224.3,250.17,212.32,181.85,213.74,223.71,324.46,176,259.68,141.9885714,296.77,235.69,190.04,226.49,216.98,135.02,211.49,277.73,433.57,242.6,180.69,278.93,285.45
158.25,235.09,166.02,132.72,216.31,137.11,202.86,181.71,163.12,199.43,156.99,97.2,221.88,174.61,128.33,160.55,194.04,358.58,142.6,171.56,141.5542857,213.39,157.42,127.15,160.05,173.48,92.19,167.92,248.115,255.59,168.3,169.48,181.39,212.47
157.18,204.24,166.15,109.37,214.04,128.56,175.21,188.87,149.43,272.33,163.23,113.09,230.62,179.63,131.62,160.46,185.25,296.46,131.96,199.23,141.12,218.96,151.42,131.77,175.73,192.51,90.49,177.25,218.5,243.79,155.1,152.9,173.39,222.28
247.48,289.34,186.73,180.61,298.43,170.13,236.84,293.185,195.15,275.1685714,200.41,151.64,307.42,192.22,145.26,190.72,190.5,315.21,142.25,259.07,185.25,257.17,185.48,180.04,215.36,189.96,108.45,244.36,297.62,299.41,235.38,151.88,225.79,302.13
218.35,278.39,194.67,155.08,337.11,129.8,229.73,397.5,190.75,278.0071429,199.21,130.42,257.53,186.5,134.92,165.44,187.9,370.1,136.52,309.29,180.82,244.87,188.38,153.67,211.82,198.28,104.65,249.84,265.25,292.85,215.73,158.31,214.85,270.75
223.54,374.47,199.52,207.99,349.49,232.32,310.57,303.59,250.43,280.8457143,272.31,227.52,280.01,257.42,198.34,247.28,235.1,469.6,193.5,351.81,272.16,316.51,265.92,210.6,241.43,223.17,128.59,274.83,311.08,410.4,271.66,217.84,283.44,354.92
336.19,444.15,205.21,242.55,396,214.25,334.15,309.67,269.68,283.6842857,274.36,240.44,325.21,271.5,211.71,244.55,247.03,389.14,202.25,366.2,272.79,349.62,317.63,207.9,256.01,229.79,141.58,294.24,342.54,451.46,247.32,228.22,301.17,383.29
283.29,398.56,242.81,240.67,383.77,210.34,274.61,343.56,283.12,286.5228571,275.09,290.79,346.21,328.66,251.84,321.1,296.53,443.5,248.54,368.19,309.67,417.55,235.51,231.65,302.48,293.81,162.56,321.83,361.18,423.6,341.56,275.89,328.46,429.32
322.2,353.94,251.21,276.37,427.76,289.73,319.92,437.16,308.2,289.3614286,400.79,340.81,400.09,324.92,283,241.02,347.05,398.6,366.86,425.75,293.59,444.16,245.99,249.24,329.25,292.57,239.85,296.78,414.59,364.72,353.85,320.25,333.73,480.45
292.36,355.31,181.91,204.79,360.22,212.58,189.94,301.02,278.75,292.2,295.75,274.82,302.92,306.17,256.51,284.55,276.29,307.12,216.81,370.31,285.07,384.59,247.78,204.91,263.1,250.98,168.81,268.28,300.06,340.45,302.37,276.59,305.22,390.38
224.11,297.56,154.67,156.1,359.74,196.58,186.63,291.06,199.38,307.1,207.59,220.55,270.03,223.64,172.1,234.07,207.84,369.35,220.2757143,287.64,205.49,293.36,181.66,183.98,235.86,189.5,124.01,226.42,302.88,298.55,272.94,179.7,226.96,326.25
245.24,407.53,161.69,198.52,283.33,158,269.04,259.32,238.71,290.9,250.4,205.31,290.83,215.73,163.02,207.25,237.26,335.29,223.7414286,215.14,234.39,291.37,212.57,207.72,230.8,224.81,145.91,228.69,273.64,318.56,225.29,189.1,299.03,326.29
